userName,score,at,content;;;;;;;
"Pengguna Google,2,2021-10-23 00:31:31,""Akun saya tidak bisa menggunakan voucer, sangat kecewa""";;;;;;;
Pengguna Google,5,2021-10-23 00:31:13,baru instal dpat gratisan smagt tokpedia;;;;;;;
Pengguna Google,5,2021-10-23 00:29:31,Hai Tokopedia-!! Aku hanya ingin bertanya sedikit kalau di Tokopedia itu apa bisa COD karena aku sudah lama tidak menggunakan Tokopedia 😅 tetapi aku hanya lebih suka berbelanja menggunakan aplikasi ini y itu Tokopedia 😉 semoga di jawab 😊;;;;;;;
Pengguna Google,5,2021-10-23 00:27:11,ajippppp emng tokopedia untuk pengguna baru km bisa dapet barang gratis yukkkk buruan di dowload;;;;;;;
Pengguna Google,5,2021-10-23 00:24:25,Cakep dah;;;;;;;
Pengguna Google,5,2021-10-23 00:23:06,oke;;;;;;;
Pengguna Google,5,2021-10-23 00:23:00,sangat membantu;;;;;;;
Pengguna Google,1,2021-10-23 00:18:58,Setiap beli pulsa pakai promo pasti dibatalkan;;;;;;;
"Pengguna Google,3,2021-10-23 00:18:28,""Sekarang makin ribet TOKOPEDIA,hrs isi gopay dl....top up gopay jg susah....kyk sy yg rmhnya jauh dr ATM n Indomaret ribet ya....bukan makin mudah malah makin susah""";;;;;;;
Pengguna Google,5,2021-10-23 00:17:14,Pengirimannya lebih cepat dari shopee... Dan layak dapat bintang 5;;;;;;;
Pengguna Google,5,2021-10-23 00:14:06,Mantap;;;;;;;
Pengguna Google,5,2021-10-23 00:13:36,mantappp;;;;;;;
Pengguna Google,5,2021-10-23 00:12:16,mantaplah;;;;;;;
Pengguna Google,5,2021-10-23 00:10:58,Makin mantapppp;;;;;;;
Pengguna Google,5,2021-10-23 00:09:14,Mantap;;;;;;;
Pengguna Google,5,2021-10-23 00:07:27,mantab banyak promo dan bonus bonusnya;;;;;;;
"Pengguna Google,4,2021-10-23 00:02:28,""Tokopoints saya ga bisa digunakan sama sekali dan metode pembayaran hanya bisa via GoPay, gimana nih?""";;;;;;;
Pengguna Google,5,2021-10-23 00:01:38,Mantappp banget;;;;;;;
Pengguna Google,5,2021-10-22 23:59:23,Guud we lah;;;;;;;
"Pengguna Google,1,2021-10-22 23:57:12,""Please acount sya d banned gabisa transaksi via paylayer gojek, dengan alasan yg ga jelas, transaksi jd gabisa, parah banget asli.""";;;;;;;
Pengguna Google,5,2021-10-22 23:55:32,Menyenangkan ...;;;;;;;
"Pengguna Google,1,2021-10-22 23:52:31,""Saldo saya dari refond gak bisa di gunakan untuk belanja.... Di metode pembayaran gak da pilihan nya """"saldo"""".. Sangat aneh aplikasi ini... Gak sperti apl sebelah..... Transaksi gampang dan mudah..""";;;;;;;
Pengguna Google,5,2021-10-22 23:52:28,terimakasih;;;;;;;
